Ciudad,Region,Hipertension,Diabetes,Cancer,Rinon,Sida
cancún,bajío,288,23,439,374,302
uruapan,sureste,49,374,218,463,434
san cristóbal de las casas,sur,342,491,244,243,10
irapuato,norte,289,15,277,490,366
toluca,sur,130,10,33,273,457
mérida,norte,24,343,173,203,215
cancún,sureste,241,215,150,456,468
tuxpan,bajío,15,398,312,420,357
torreón,sur,384,85,126,125,459
monterrey,bajío,411,259,205,377,360
san luis potosí,norte,459,10,26,448,470
cancún,norte,457,181,450,461,495
ciudad victoria,sur,97,110,360,413,467
tapachula,occidente,327,189,330,135,483
toluca,bajío,58,374,405,248,359
puerto vallarta,sur,227,434,215,346,206
los mochis,norte,380,414,125,336,149
huatusco,sur,273,26,307,205,467
ensenada,sureste,125,336,294,435,243
león,bajío,38,346,120,243,34
coatzacoalcos,norte,314,38,70,444,110
la paz,sur,318,365,337,393,102
puerto vallarta,bajío,160,248,378,7,107
saltillo,occidente,150,417,329,209,52
reynosa,norte,302,142,26,395,112
león,norte,136,392,95,66,362
xalapa,occidente,416,450,197,344,135
chihuahua,sureste,30,362,73,17,325
san luis potosí,norte,359,294,73,226,180
playa del carmen,norte,483,424,225,332,422
morelia,bajío,490,79,333,115,68
ciudad victoria,norte,425,148,265,406,426
huatusco,occidente,407,270,59,388,148
matamoros,sur,279,36,387,167,182
torreón,norte,482,489,231,175,204
toluca,centro,116,441,42,210,483
guadalajara,bajío,79,389,440,423,92
piedras negras,centro,53,457,486,219,473
tuxpan,sureste,123,63,36,474,153
celaya,occidente,394,210,86,146,377
coacalco,occidente,364,99,428,42,64
puebla,norte,133,386,135,35,31
durango,bajío,184,316,33,276,301
durango,sureste,308,485,200,51,445
tijuana,occidente,377,218,195,22,389
ensenada,centro,73,110,203,88,445
matamoros,centro,212,125,264,448,373
querétaro,occidente,23,312,178,488,328
tehuacán,sureste,64,44,367,146,490
chilpancingo,sur,89,270,24,88,221
celaya,sur,500,357,448,488,264
atlixco,occidente,418,212,236,385,214
villahermosa,sureste,28,331,200,207,279
monterrey,sureste,279,201,92,440,294
mérida,bajío,92,65,333,350,364
puerto vallarta,sur,69,440,237,356,433
morelia,bajío,479,234,282,213,408
culiacán,occidente,318,234,116,478,254
nogales,sur,31,460,428,384,189
toluca,sur,261,35,240,63,180
acapulco,norte,14,225,291,285,342
hermosillo,bajío,431,145,314,367,172
culiacán,sureste,6,207,388,370,348
playa del carmen,bajío,420,492,50,161,115
colima,bajío,72,12,104,331,98
zacatecas,occidente,204,223,201,385,316
tehuacán,sur,239,138,149,253,331
león,occidente,238,333,324,276,399
león,occidente,85,427,339,448,468
colima,bajío,209,267,374,79,181
villahermosa,centro,276,353,395,166,265
acapulco,centro,141,333,239,37,54
puebla,sur,212,77,376,286,230
la paz,occidente,181,345,23,124,499
xalapa,sur,61,224,321,40,369
tapachula,norte,227,232,170,208,91
toluca,occidente,54,204,409,13,63
torreón,centro,67,65,424,243,148
oaxaca,bajío,382,148,221,222,484
ciudad victoria,sur,201,440,424,24,27
acapulco,occidente,47,389,325,220,263
irapuato,sureste,46,191,437,289,68
toluca,norte,206,299,461,109,347
pachuca,bajío,12,97,324,116,305
tuxtla gutiérrez,norte,169,315,100,32,37
poza rica,occidente,103,202,492,414,269
puebla,norte,28,439,259,382,284
tepic,sureste,343,223,193,34,275
manzanillo,norte,386,488,65,85,0
uruapan,occidente,293,313,117,45,248
ensenada,centro,290,334,63,246,108
torreón,sureste,156,341,82,190,490
torreón,sureste,71,22,153,417,106
nuevo laredo,occidente,365,334,273,421,137
culiacán,occidente,299,447,131,475,298
coatzacoalcos,centro,144,140,430,17,340
querétaro,occidente,467,77,355,120,394
campeche,sur,211,99,134,122,106
la paz,sureste,78,97,446,417,294
celaya,bajío,283,104,87,487,54
playa del carmen,centro,495,142,407,297,375
mérida,bajío,338,49,387,322,318
acapulco,norte,43,67,306,350,138
playa del carmen,norte,408,314,288,224,154
la paz,sureste,282,496,363,70,163
poza rica,sureste,121,190,454,453,108
villahermosa,sur,228,478,255,360,104
chilpancingo,sureste,353,392,46,330,98
manzanillo,centro,406,326,1,500,288
mérida,sur,327,89,19,172,18
hermosillo,centro,167,100,63,313,108
ciudad victoria,bajío,306,68,256,73,188
monterrey,sur,200,195,381,56,493
león,occidente,394,417,471,123,363
oaxaca,norte,71,226,3,128,433
pachuca,centro,293,78,439,82,129
toluca,sur,229,269,18,441,201
colima,sureste,380,120,61,377,360
saltillo,bajío,214,268,85,275,490
puebla,sureste,366,296,2,328,108
tijuana,bajío,457,160,105,143,258
atlixco,occidente,173,259,10,91,321
reynosa,norte,26,483,455,27,376
veracruz,occidente,363,198,42,70,17
puerto vallarta,sureste,77,43,465,208,162
culiacán,sureste,274,176,55,176,133
ciudad victoria,norte,305,256,286,298,88
nogales,sur,442,412,141,317,164
cancún,sureste,366,407,478,392,56
tijuana,bajío,342,275,391,399,141
poza rica,bajío,76,238,435,173,159
monterrey,sureste,84,391,196,226,179
chilpancingo,centro,267,407,213,240,203
chetumal,sureste,96,24,425,472,6
hermosillo,sureste,461,399,162,158,169
piedras negras,sur,22,485,327,172,175
ciudad de méxico,sur,288,84,33,86,339
tijuana,centro,348,352,18,242,160
san luis potosí,bajío,265,359,52,245,341
poza rica,centro,196,435,139,223,406
veracruz,norte,352,429,401,101,151
torreón,sur,463,43,86,73,283
manzanillo,occidente,321,276,129,191,275
aguascalientes,sureste,455,381,38,471,66
huatusco,occidente,130,389,145,255,408
puebla,centro,339,384,137,8,267
oaxaca,sur,498,402,271,235,320
tepic,occidente,490,374,395,159,125
uruapan,norte,119,278,475,229,283
monterrey,sureste,407,340,169,461,308
mazatlán,norte,311,429,322,132,384
coacalco,bajío,367,477,442,457,195
acapulco,occidente,53,478,91,100,238
guadalajara,bajío,102,356,372,93,423
coatzacoalcos,centro,111,234,75,329,163
oaxaca,norte,358,32,88,465,188
tuxpan,norte,367,375,355,500,352
reynosa,occidente,297,375,131,246,178
