p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,Sociabilidad,Asertividad / Liderazgo,Nivel de actividad,Búsqueda de emociones,Afecto positivo,Puntaje Total,Personalidad,Clasificacion,Cluster
3,4,4,3,1,4,4,1,1,5,4,2,2,4,5,2,3,5,2,5,3,2,1,4,3,3,2,4,4,1,3,5,3,5,4,2,4,2,1,2,3,1,3,1,2,36,36,29,29,12,132,Ambivertido,Ambivertido,2
5,5,4,2,2,5,4,4,2,2,4,2,3,1,2,4,2,3,1,4,3,4,3,4,2,4,5,2,1,3,5,1,3,5,4,5,5,2,4,3,4,2,1,4,1,41,31,35,30,12,141,Extrovertido,Extrovertido,1
3,2,3,5,1,4,1,1,1,2,4,5,3,4,2,3,4,1,4,2,4,1,1,1,2,1,2,1,1,4,3,5,4,2,5,4,4,5,2,4,4,3,2,2,3,31,28,35,29,9,125,Ambivertido,Ambivertido,1
3,3,2,5,4,3,3,4,1,1,4,2,2,2,1,2,5,3,2,2,3,1,2,5,2,3,2,4,5,1,2,4,1,1,3,1,5,5,5,2,4,2,2,3,4,38,31,29,23,13,126,Ambivertido,Ambivertido,2
4,5,2,2,5,1,2,3,3,3,1,2,3,1,3,3,2,1,3,4,1,2,5,4,1,4,3,3,2,3,4,2,2,4,5,3,4,5,4,2,1,5,2,2,1,36,33,27,23,17,127,Ambivertido,Ambivertido,2
1,5,3,1,2,5,1,4,5,3,5,1,5,3,5,1,3,2,5,4,4,4,4,3,3,1,3,1,1,1,2,3,4,4,1,1,2,1,3,5,3,4,4,3,4,37,24,36,29,13,133,Ambivertido,Ambivertido,1
5,1,3,3,1,1,4,2,1,2,4,4,3,1,2,5,1,5,1,3,5,3,1,4,3,5,1,3,1,1,1,3,2,3,2,5,3,3,5,3,2,4,4,3,4,38,22,37,27,7,126,Ambivertido,Ambivertido,2
5,1,5,1,1,3,3,4,3,2,2,1,1,3,3,3,1,4,2,2,5,3,3,4,5,4,2,1,1,3,4,2,2,3,1,4,1,3,1,1,2,3,5,4,4,37,27,23,30,10,121,Ambivertido,Ambivertido,2
3,5,4,3,2,5,1,4,4,2,2,1,5,2,3,4,3,5,2,1,4,1,3,1,1,1,4,2,2,3,1,2,4,1,4,1,3,4,4,3,3,3,5,2,5,40,24,34,24,12,128,Ambivertido,Ambivertido,2
5,1,4,3,2,5,1,5,5,1,3,1,5,4,4,5,5,2,1,4,2,4,4,1,4,1,3,2,2,5,1,5,1,3,2,5,5,3,4,5,4,5,5,2,1,38,31,30,39,18,145,Extrovertido,Extrovertido,0
4,1,5,1,2,1,2,5,4,3,3,2,4,5,1,4,1,3,5,1,1,5,5,2,4,5,3,1,2,2,5,4,3,5,3,4,3,1,1,1,2,4,4,4,1,37,29,30,30,11,132,Ambivertido,Ambivertido,2
2,5,2,5,5,1,4,5,4,3,3,4,4,5,5,4,4,3,3,1,2,5,5,4,1,4,2,3,1,3,5,4,4,5,4,3,5,1,2,4,5,5,1,5,4,37,36,46,31,14,159,Extrovertido,Extrovertido,1
5,4,4,5,5,3,3,1,2,4,2,5,3,1,1,3,5,4,5,2,2,4,4,4,1,1,5,1,5,4,1,2,3,2,1,4,5,4,5,3,3,2,5,1,3,44,32,36,23,18,142,Extrovertido,Extrovertido,2
